day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
5,2015,1,16,01/16/2015,34.5,23.4,1008.6,10,14.9,25.1,34,39.9,28.9,0.02,999.9,0,563
5,2019,1,25,01/25/2019,37,28.5,1010.5,8.9,14,26,35,52,30,0.28,999.9,0,666
1,2018,1,8,01/08/2018,35,28,1023.6,9.9,18.3,26,33,42.1,21.9,0,999.9,0,720
1,2018,1,29,01/29/2018,40.3,37.7,1021.4,6.9,12.1,26,34,46,37,0.2,999.9,1,531
3,2015,1,7,01/07/2015,22.6,10.2,1011.8,9.4,12.1,26,35.9,27,17.1,0,999.9,0,538
1,2017,1,23,01/23/2017,40.9,34.4,1011.4,8.8,18.6,26,38.1,44.1,37.4,0,999.9,0,667
2,2018,1,23,01/23/2018,45.3,45.3,1012.9,4.4,16.2,26,35.9,51.1,27,0,999.9,1,531
3,2016,1,20,01/20/2016,29.4,11.2,1014.4,10,18.9,27,36.9,37,21.9,0,999.9,0,623
2,2019,1,22,01/22/2019,15.8,-2.3,1026.7,10,17.6,27,36.9,28,6.1,0,999.9,0,627
7,2019,1,20,01/20/2019,43.2,42.4,1012.4,2.8,17,27,36.9,52,28,0.61,999.9,1,411
1,2016,1,18,01/18/2016,34.4,24.9,1002.2,8.8,15.3,27,35,44.1,26.1,0.45,999.9,0,481
3,2017,1,11,01/11/2017,45,40.9,1027.3,6.5,15.1,27,34,50,28.9,0.33,999.9,0,629
6,2015,1,31,01/31/2015,24.5,12.9,1006.9,7.8,20.3,27,36.9,34,17.1,0.06,999.9,0,526
2,2016,1,19,01/19/2016,25.5,4.8,1007.1,10,21.7,27,38.1,37.9,21.9,0.02,999.9,0,662
6,2014,1,25,01/25/2014,32,23,1011.2,8.5,17,27,35.9,41,10.9,0,999.9,0,475
7,2014,1,19,01/19/2014,36.1,29,1005.7,10,16.5,28,38.1,43,32,0.04,999.9,0,380
6,2018,1,6,01/06/2018,13.2,-0.2,1013.5,10,22.4,28,39,27,10.9,0,999.9,0,599
5,2018,1,5,01/05/2018,23,13.8,995.7,9.5,23.4,28,39,42.1,15.1,2.14,999.9,0,700
4,2013,1,31,01/31/2013,46.5,40.3,995.5,5.9,23.1,28,39,54,39,0.02,999.9,1,592
3,2019,1,30,01/30/2019,36.8,29.5,1009.8,8.8,15.1,28,41,42.1,30,0.39,999.9,0,630
